IID,ancestry,white_brit,Unnamed: 0
3755012,United Kingdom,1,54878
2568149,United Kingdom,1,364755
2893836,United Kingdom,1,133647
2493608,United Kingdom,1,371567
2498308,United Kingdom,1,413579
5969786,United Kingdom,1,87805
4205973,United Kingdom,1,12110
2723714,United Kingdom,1,483391
1041787,United Kingdom,1,351980
1740112,United Kingdom,1,458949
5222707,United Kingdom,1,467989
3976663,United Kingdom,1,258570
1330797,United Kingdom,1,144971
3069382,United Kingdom,1,193365
2861161,United Kingdom,1,159448
5306376,United Kingdom,1,405043
5664746,United Kingdom,1,929
3967527,United Kingdom,1,474126
2745326,United Kingdom,1,259737
1839914,United Kingdom,1,27547
5233467,United Kingdom,1,373700
4154703,United Kingdom,1,113641
4458233,United Kingdom,1,360229
2172729,United Kingdom,1,261702
3404079,United Kingdom,1,357229
3067541,United Kingdom,1,125059
4423253,United Kingdom,1,439785
2090426,United Kingdom,1,11645
1876805,United Kingdom,1,220897
5019574,United Kingdom,1,344988
1737325,United Kingdom,1,168726
5539851,United Kingdom,1,286360
1035579,United Kingdom,1,454246
3475362,United Kingdom,1,367205
5338763,United Kingdom,1,57738
4231582,United Kingdom,1,57238
3471862,United Kingdom,1,215428
1393406,United Kingdom,1,231311
4569490,United Kingdom,1,266178
3134497,United Kingdom,1,84137
2991413,United Kingdom,1,206158
3353455,United Kingdom,1,447198
4566045,United Kingdom,1,364211
3369435,United Kingdom,1,379498
3543917,United Kingdom,1,399543
4137735,United Kingdom,1,362538
4571263,United Kingdom,1,305849
5567800,United Kingdom,1,269317
1084915,United Kingdom,1,425696
5439394,United Kingdom,1,338955
3769772,United Kingdom,1,79277
2176882,United Kingdom,1,295887
5481408,United Kingdom,1,258143
1165427,United Kingdom,1,81834
4888018,United Kingdom,1,304296
4989870,United Kingdom,1,81269
2966277,United Kingdom,1,408873
5128811,United Kingdom,1,265264
2549008,United Kingdom,1,20398
1690264,United Kingdom,1,122376
3784902,United Kingdom,1,258437
4558949,United Kingdom,1,290912
1610283,United Kingdom,1,339915
1032274,United Kingdom,1,383195
1960044,United Kingdom,1,238704
2013553,United Kingdom,1,449291
5868363,United Kingdom,1,364927
2429913,United Kingdom,1,148775
3478357,United Kingdom,1,314610
4606434,United Kingdom,1,408261
5360937,United Kingdom,1,475903
5790710,United Kingdom,1,281800
5068529,United Kingdom,1,301226
3059562,United Kingdom,1,295888
2037733,United Kingdom,1,139338
4745990,United Kingdom,1,97645
1206834,United Kingdom,1,353747
1235417,United Kingdom,1,17090
5957425,United Kingdom,1,184046
4528483,United Kingdom,1,207935
4643565,United Kingdom,1,440073
3261218,United Kingdom,1,484416
4222375,United Kingdom,1,112889
5069686,United Kingdom,1,387931
3948020,United Kingdom,1,11267
4022398,United Kingdom,1,436276
3046475,United Kingdom,1,91087
4228662,United Kingdom,1,382158
4926321,United Kingdom,1,271451
1266844,United Kingdom,1,354215
3300284,United Kingdom,1,349391
4752413,United Kingdom,1,322821
4376266,United Kingdom,1,457180
5918482,United Kingdom,1,198008
3792398,United Kingdom,1,472637
1772800,United Kingdom,1,316067
1487346,United Kingdom,1,175336
1221283,United Kingdom,1,478092
4619947,United Kingdom,1,96808
1120646,United Kingdom,1,246956
4896021,United Kingdom,1,164443
1747287,United Kingdom,1,333588
3706650,United Kingdom,1,371705
3614532,United Kingdom,1,209185
2753494,United Kingdom,1,434573
6013444,United Kingdom,1,16518
4422056,United Kingdom,1,239073
2939376,United Kingdom,1,286043
4089733,United Kingdom,1,165343
3349895,United Kingdom,1,267428
5608655,United Kingdom,1,180169
2413106,United Kingdom,1,204135
2363005,United Kingdom,1,180110
5698882,United Kingdom,1,191205
5977826,United Kingdom,1,405975
2827504,United Kingdom,1,146887
1646574,United Kingdom,1,15187
5180814,United Kingdom,1,67165
